series,m0,m0_over_y0,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_normalized_total
andren_lynx_roedeer_data_6,0.21984924623115581,0.75,0.0419253305363716,0.10962788558366737,0.08299399568080115,0.05161443806678695,0.2510107275452151,0.1812049055071749
andren_lynx_roedeer_data_6,0.29313232830820773,1.0,0.0419297306011093,0.10960269046816265,0.08297846728562017,0.0516129511180214,0.2509769839078419,0.1811813224018806
andren_lynx_roedeer_data_6,0.43969849246231163,1.5,0.041914233104291904,0.10964200520485466,0.08300051879977106,0.05161450327566655,0.25097965155600876,0.18118339113115386
andren_lynx_roedeer_data_6,0.5862646566164155,2.0,0.041891971309285334,0.10970133834582108,0.08303409207982676,0.05161135722947585,0.25097988043913466,0.1811831015579418
andren_lynx_roedeer_data_6,0.8793969849246233,3.0,0.041929836551010805,0.1095963282872008,0.0829742923056002,0.05161428047303594,0.25099481582372857,0.18119386236726764
andren_lynx_roedeer_data_6,1.4656616415410386,5.0,0.041903081726820085,0.1097045606322375,0.08303902360251124,0.05161188086627996,0.2509913562946195,0.18119112448070918
timeserieslogmeans_WRGP,0.0,0.0,0.22766721636754872,0.18002118894536084,0.2052315641876872,0.26334800173831446,0.0035497202260578033,0.18623207367857791
timeserieslogmeans_WRGP,1.6902074384799544,0.25,0.22765021356129045,0.18002116436996587,0.20522212277873386,0.2633539747814817,0.0035497198489004367,0.18623629687068385
timeserieslogmeans_WRGP,3.3804148769599087,0.5,0.22765537700900113,0.18002113985610613,0.20522497591204897,0.2633459865653977,0.003549719758328148,0.18623064886111695
timeserieslogmeans_WRGP,5.070622315439863,0.75,0.22767098900985583,0.18002118276155277,0.20523365401365623,0.2633147535078503,0.0035497199753706152,0.18620856576269995
timeserieslogmeans_WRGP,6.760829753919817,1.0,0.22765217009879382,0.18002115883944103,0.2052232055355649,0.26335302150219037,0.0035497198218684576,0.18623562286139958
timeserieslogmeans_WRGP,10.141244630879726,1.5,0.2276713296765162,0.18002115538546412,0.205233830962381,0.26332225305861706,0.003549719925001436,0.1862138682636343
timeserieslogmeans_WRGP,13.521659507839635,2.0,0.22765041400948785,0.1800211832566355,0.2052222422397367,0.2633539616282255,0.0035497200205960554,0.18623628757240823
timeserieslogmeans_WRGP,20.28248926175945,3.0,0.22767190723481087,0.18002118579436288,0.2052341646494862,0.26331598087618047,0.0035497199677445405,0.18620943356424569
